Provinces,Districts,2025 Production (MT),2024 Production (MT),Difference (MT),Change (%)
Amajyaruguru,Burera,17043,17254,-212,-1.0
Amajyaruguru,Gakenke,22607,22627,-20,0.0
Amajyaruguru,Gicumbi,23740,22840,900,4.0
Amajyaruguru,Musanze,19917,17921,1996,11.0
Amajyaruguru,Rulindo,9222,8755,467,5.0
Amajyepfo,Gisagara,15133,14884,249,2.0
Amajyepfo,Huye,7663,7182,481,7.0
Amajyepfo,Kamonyi,6430,5664,766,14.0
Amajyepfo,Muhanga,7148,6037,1111,18.0
Amajyepfo,Nyamagabe,11923,10395,1528,15.0
Amajyepfo,Nyanza,3774,3025,749,25.0
Amajyepfo,Nyaruguru,12065,9129,2936,32.0
Amajyepfo,Ruhango,14037,13177,859,7.0
Iburasirazuba,Bugesera,22215,21165,1050,5.0
Iburasirazuba,Gatsibo,51923,50856,1067,2.0
Iburasirazuba,Kayonza,44634,42236,2398,6.0
Iburasirazuba,Kirehe,30055,29561,494,2.0
Iburasirazuba,Ngoma,35692,35329,363,1.0
Iburasirazuba,Nyagatare,62139,61918,221,0.0
Iburasirazuba,Rwamagana,13427,13288,139,1.0
Iburengerazuba,Karongi,16911,16037,873,5.0
Iburengerazuba,Ngororero,12540,12486,55,0.0
Iburengerazuba,Nyabihu,10173,9552,620,6.0
Iburengerazuba,Nyamasheke,13438,11311,2127,19.0
Iburengerazuba,Rubavu,569,0,569,inf
Iburengerazuba,Rusizi,17840,16665,1175,7.0
Iburengerazuba,Rutsiro,18457,15765,2692,17.0
Umujyi wa Kigali,Gasabo,5942,4859,1083,22.0
Umujyi wa Kigali,Kicukiro,2888,2864,24,1.0
Umujyi wa Kigali,Nyarugenge,771,628,143,23.0
